source_id,Reference,Comments
Bison_20241129,"Bison, Rob. 2024. Thompson and Chilcotin escapement numbers for steelhead. Provided to Pacific Salmon Foundation by Rob Bison (Provincial steelhead specialist,  Ministry of Water, Land and Resource Stewardship, Province of BC) on November 29, 2024.",
Brown_20260420,"Brown, Nicholas. 2026. Estimates of spawners, annual terminal run size, harvest, and recruitment for Barkey Sound sockeye Conservation Units. Provided to Pacific Salmon Foundation by Nicholas Brown (DFO) on April 20, 2026.",
Brown_20250703,"Brown, Nicholas and Carrie Holt. 2025. Supporting materials and R code for: Brown et al. West Coast of Vancouver Island Natural-Origin Chinook Salmon (Oncorhynchus tshawytscha) Stock Assessment [Data set version 4, accessed Jul 3, 2025.]. Zenodo. https://doi.org/10.5281/zenodo.15801551 ",
Brown_20260421,"Brown, Nicholas. 2026. Infilled indicator stream escapement timeseries. Provided to Pacific Salmon Foundation by Nicholas Brown (DFO) on April 21, 2026.",
CarrHarris_20250724,"Carr-Harris, Charmaine. 2025. Preliminary 2023 estimates of catch and escapement of Skeena sockeye from the Northern Boundary Run Reconstruction Model. Provided to Pacific Salmon Foundation by Charmaine Carr-Harris (DFO) on July 24, 2025.",
CTC_20250714,Chinook Technical Committee. 2025. Annual Report of Catch and Escapement for 2024. Pacific Salmon Commission Joint Chinook Technical Committee Report TCCHINOOK (25)-02: xviii + 180 p. Available from https://www.psc.org/reports/tcchinook-25-02.,
DFO_20241101,"DFO. 2024. Wild Salmon Policy Status, Limit Reference Point, and Candidate Escapement Goals for Okanagan Sockeye Salmon. Canadian Science Advisory Secretariat Science Advisory Report 2024/060. Available from https://publications.gc.ca/collections/collection_2025/mpo-dfo/fs70-6/Fs70-6-2024-060-eng.pdf.",
DFO_20250128,"Fisheries and Oceans Canada. 2025. Fraser Coho and Chum Post-season Review. Presentation to the Fraser Management Council on January 28, 2025. Available online at https://frasersalmon.ca/wp-content/uploads/2025/01/2024-Fraser-Coho-and-Chum-Post-season-Review-2025-01-28-FINAL-1.pdf [accessed July 3, 2025].",
DFO_20250225,"Fisheries and Oceans Canada. 2025. 2025/26 Southern B.C. Salmon: Chum and Coho. Presentation at the Fraser Approach Forum 2, Richmond B.C., February 25-27, 2025. Available online athttps://frasersalmon.ca/wp-content/uploads/2025/02/2025-Forum-2_Richmond_Chum-and-Coho.pdf [accessed July 3, 2025].",
DFO_20250318,"Fisheries and Oceans Canada. 2024. Okanagan Chinook natural-origin and hatchery-origin spawner abundance. Downloaded by Pacific Salmon Foundation from https://github.com/SOLV-Code/Scanner-Data-Processing/blame/main/DATA_IN/Chinook_Okanagan_NEW.csv on March 3, 2025. ",
English_20230930,"English, K.K., Alexander, R.F., Ian A. Beveridge, Challenger, W., Percival, N., Hertz, E., and Atkinson, C. 2023. Preliminary Area 3 Salmon (2018–2022) and Nass River Summer-Run Steelhead (1994–2022) Escapement, Catch, Run Size, and Exploitation Rate Estimates. Prepared by LGL Ltd. and Nisga’a Lisims Government - Fisheries & Wildlife Department for the Pacific Salmon Foundation and Nisga’a-Canada-BC Treaty’s Joint Fisheries Management Committee. Available from https://salmonwatersheds.ca/document/lib_526/.",
Foos_20250415,"Foos, Aaron. 2025. Preliminary Estimates of Transboundary River Salmon Production, Harvest and Escapement compiled for the Pacific Salmon Commission Transboundary Technical Committee. Provided to  the Pacific Salmon Foundation on April 15, 2024. ",
Glavas_20231006,"Glavas, Marissa. 2023. Interior Fraser coho abundance and catch time series 1984 - 2022. Provided to Pacific Salmon Foundation by Marissa Glavas (DFO) on October 6, 2023.",
Jenewin_20240416,"Jenewin, Brittany. 2024. Estimates of Fraser river chum salmon catch and escapement from 1998 to 2022 prepared for the Pacific Salmon Commission Chum Technical Committee post-season summary report. Provided to Pacific Salmon Foundatuon by Brittany Jenewin (DFO) on April 16, 2024.",
JTC_202603,Yukon River Joint Technical Committee. 2026. Yukon River Salmon 2025 Season Summary and 2026 Season Outlook. Yukon River Joint Technical Committee Report YUKON JTC (26)-01. Available from https://www.yukonriverpanel.com/publications/yukon-river-joint-technical-committee-reports/.,
McHugh_20261024,"DFO. 2025. West Coast of Vancouver Island Stock Assessment October 24, 2025: Escapement Bulletin #7 - all salmon species. Produced by DFO South Coast Stock Assessment and provided to Pacific Salmon Foundation by Diana McHugh on October 24, 2025.",
Nisgaa_20251202,Nisga’a Fisheries and Wildlife Department. 2025. 2025 Nass River Salmon Stock Assessment - Post-Season Summary. Produced by LGL Ltd. and provided to Pacific Salmon Foundation by [PERSON] on [DATE].,Need date and source.
Carturan_20260220,"Carturan, Bruno and Peacock, Stephanie. 2026. Cleaned spawner survey data. Version v4. Available from https://zenodo.org/records/19959144.",
NuSEDS_20251103,DFO. 2025. The New Salmon Escapement Database System (NuSEDS). Available from Open Data Canada at https://open.canada.ca/data/en/dataset/c48669a3-045b-400d-b730-48aafe8c5ee6 [accessed 2026-01-08].,
OBMEP_20260228,"OBMEP. 2026. 2025 Okanogan Subbasin Steelhead Spawning Abundance and Distribution. Colville Confederated Tribes Fish and Wildlife Department, Nespelem, WA. Report submitted to the Bonneville Power Administration, Project No. 2003-022-00. Available at https://www.okanoganmonitoring.org/ [accessed Apr 15, 2026].",
Ogden_20250627,"Ogden, Athena. 2025. Okanagan sockeye escapement 1961-2024 [data set]. Provided to Pacific Salmon Foundation b y Athena Ogden (DFO) on June 27, 2025.",
Ogden_20250901,"Ogden, A.D., Alex, K., Pestal, G., Alameddine, I., Davis, B., Judson, B., Stiff, H., and Pham, S. 2025. Wild Salmon Policy Status, Limit Reference Point, and Candidate Escapement Goals for Okanagan Sockeye Salmon. Canadian Science Advisory Secretariat Research Document 2025/046: xii + 102 p. Available from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/41302795.pdf",
PSC_20250416,Chinook Technical Committee Annual Report Data App. Release 2025.01.v1. Pacific Salmon Commission: Chinook Technical Committee. [Accessed 2025 Apr 16]. https://psc1.shinyapps.io/CTC_annual_report_data/_w_637af0d3/_w_8625d32f/,
PSC_20250424,PSC Annual Report Application. Release 2025.04. Pacific Salmon Commission. [accessed 2025 Apr 24]. https://www.psc1.shinyapps.io/PSC_Annual_Fraser/,
PSC_20250722,Pacific Salmon Run Size Application. Release 2025.06. Pacific Salmon Commission. [Updated 2025 Jun 26; accessed 2025 Jul 22]. https://www.psc1.shinyapps.io/salmon-run-size-app/,
Ramsay_20250814,"Ramsay, M. 2025. Skeena Steelhead Recreational Fishery Update – 2025 Season. Ministry of Water, Land and Resource Stewardship, Victoria, B.C. Available from https://www2.gov.bc.ca/assets/gov/sports-recreation-arts-and-culture/outdoor-recreation/fishing-and-hunting/freshwater-fishing/skeena_steelhead_update_august_14_2025.pdf [accessed 13 April 2026].",
ProvBC_20250903,"Province of British Columbia. 2025. Estimated Escapement of Skeena Summer Steelhead at the Tyee Test Fishery, 1956 - 2025 - All Years to Sept 2, 2025. Provided to Pacific Salmon Foundation by Kenji Miyazaki on September 3, 2025.",
Spoljaric_20260409,"Spoljaric, Mark. 2026. Summary of Yakoun Chinook escapement estimates, 2021 - 2025. Provided to Pacific Salmon Foundation by Mark Spoljaric (Haida Fisheries Program) on April 9, 2026.",
Weir_20260424,"Weir, Lauren. 2025. Fraser Chinook escapement and terminal run by Stock Managenent Unit, 1975 - 2025. Provided to Pacific Salmon Foundation by Lauren Weir (DFO) on April 24, 2026.",
