"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","status_offset_x","status_offset_y","region_label_offset_x","region_label_offset_y"
"Yukon","Chinook","Spawners",-53,-3.2,"arrow-down",-0.7,"arrow-down",21453,2025,46029,62197,6,"Yukon Chinook",44,"1982-2025",0,0,0,0
"Yukon","Chinook","Total return",-74,-5.9,"arrow-down",-3.5,"arrow-down",24775,2025,93555,82521,6,"Yukon Chinook",44,"1982-2025",0,0,0,0
"Yukon","Chum","Spawners",-74,-20.9,"arrow-down",1.6,"arrow-up",19813,2025,75973,53812,4,"Yukon Chum",46,"1980-2025",-1,0,0,-5
"Yukon","Chum","Total return",-84,-25,"arrow-down",-5.1,"arrow-down",20284,2025,126804,73101,4,"Yukon Chum",25,"2001-2025",0,0,0,0
"Yukon","Coho","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Yukon","Coho","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Northern Transboundary","Chinook","Spawners",-38,-3.9,"arrow-down",-1.3,"arrow-down",34683,2025,55860,23753,5,"Northern Transboundary Chinook",50,"1976-2025",0,0,0,0
"Northern Transboundary","Chinook","Total return",-45,-6.5,"arrow-down",-1,"arrow-down",37748,2025,68892,28412,5,"Northern Transboundary Chinook",50,"1976-2025",0,0,0,0
"Northern Transboundary","Chum","Spawners",-44,-6,"arrow-down",-5,"arrow-down",130,2025,233,68,4,"Northern Transboundary Chum",42,"1984-2025",0,0,0,-2
"Northern Transboundary","Chum","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"Northern Transboundary","Coho","Spawners",-14,-2.5,"arrow-down",0.5,"arrows-left-right",67222,2025,78255,64531,5,"Northern Transboundary Coho",39,"1987-2025",0,-1,0,-2
"Northern Transboundary","Coho","Total return",-18,-3,"arrow-down",-1.2,"arrow-down",92334,2025,112038,86459,5,"Northern Transboundary Coho",34,"1992-2025",0,0,0,0
"Northern Transboundary","Pink","Spawners",-66,-28.3,"arrow-down",-2.7,"arrow-down",3015,2025,8953,7046,2,"Northern Transboundary Pink",42,"1984-2025",0,0,0,0
"Northern Transboundary","Pink","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0
"Northern Transboundary","Sockeye","Spawners",47,2.5,"arrow-up",0.5,"arrow-up",206440,2025,140871,132378,5,"Northern Transboundary Sockeye",42,"1984-2025",0,0,0,0
"Northern Transboundary","Sockeye","Total return",4,-1.3,"arrow-down",0.2,"arrows-left-right",330835,2025,319647,257579,5,"Northern Transboundary Sockeye",42,"1984-2025",0,0,0,0
"Northern Transboundary","Steelhead","Spawners",-19,-5.4,"arrow-down",-1.8,"arrow-down",37,2025,46,17,5,"Northern Transboundary Steelhead",39,"1987-2025",0,0,0,0
"Northern Transboundary","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Haida Gwaii","Chinook","Spawners",11,11.9,"arrows-left-right",0.6,"arrow-up",1800,2025,1624,NA,5,"Haida Gwaii Chinook",81,"1935-2025",0,0,0,0
"Haida Gwaii","Chinook","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Haida Gwaii","Chum","Spawners",-74,-7.2,"arrow-down",-1.8,"arrow-down",67251,2024,258388,160386,5,"Haida Gwaii Chum",75,"1950-2024",1,0,0,0
